movie,imdb,rotten,metacritic,google,indiewire,fb,fandango,letterboxd,FilmAffinity,common sense media,traktv,time out,itunes,vudu,date,src
Star Wars: Episode VII - The Force Awakens (2015),7.9,92,80,78,,,,,,,,,,,12/8/2020,https://www.filmsite.org/boxoffice.html
Avengers: Endgame,8.4,94,,94,3.5,,,,,,,,,,12/8/2020,
Avatar (2009),7.8,82,,86,,5,,,,,,,,,12/8/2020,
Black Panther,7.3,96,88,91,,,,,,,,,,,12/8/2020,
Avengers: Infinity War,8.4,85,68,94,,,,,,,,,,,12/8/2020,
Titanic ,7.8,89,75,,,,,,,,,,,,12/8/2020,
Jurassic World (2015),7,70,59,92,,,,,,,,,,,12/8/2020,
Marvel's The Avengers (2012),8,91,69,,,,,,,,,,,,12/8/2020,
Star Wars: Episode VIII - The Last Jedi (2017),7,90,84,68,,,,,,,,,,,12/8/2020,
Incredibles 2 (2018),7.6,93,80,92,,,,,,,,,,,12/8/2020,
The Lion King (2019),6.9,52,55,87,,,,,,,,,,,12/8/2020,
The Dark Knight (2008),9,94,84,95,,,,,,,,,,,12/8/2020,
Rogue One: A Star Wars Story (2016),7.8,84,65,87,,,,,,,,,,,12/8/2020,
Star Wars: Episode IX - The Rise of Skywalker (2019),6.6,51,53,72,,,,,,,,,,,12/8/2020,
Beauty and the Beast (2017),7.1,71,65,89,,,,,,,,,,,12/8/2020,
Finding Dory (2016),7.3,94,77,88,,,,,,,,,,,12/8/2020,
Frozen II (2019),6.9,77,64,91,,,,,,,,,,,12/8/2020,
Star Wars: Episode I - The Phantom Menace (1999),6.5,52,51,83,,,,,,,,,,,12/8/2020,
Star Wars: Episode IV - A New Hope (1977),8.6,92,90,91,,,,,,,,,,,,
Avengers: Age of Ultron (2015),7.3,76,,93,,,83,,,,,,,,,
The Dark Knight Rises (2012),8.4,87,,89,,,,3.7,,,,,,,,
Shrek 2 (2004),7.2,89,75,92,,,,,,,,,,,,
E. T. The Extra-Terrestrial (1982),7.8,98,91,83,,,,,,,,,,,,
Toy Story 4 (2019),7.8,97,84,89,,,,,,,,,,,,
Captain Marvel (2019),6.9,79,64,76,,,,,,,,,,,,
The Hunger Games: Catching Fire (2013),7.5,90,76,94,,,,,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest (2006),7.3,53,53,94,,,,,,,,,,,,
The Lion King (1994),8.5,93,88,93,,,,,,,,,,,,
Jurassic World: Fallen Kingdom (2018),6.2,47,51,89,,,,,,,,,,,,
Toy Story 3 (2010),8.3,98,92,92,,,,,,,,,,,,
Wonder Woman (2017),7.4,93,3.5,88,,,,,,,,,,,,
Iron Man 3 (2013),7.2,79,62,91,,,,,,,,,,,,
Captain America: Civil War (2016,7.8,90,75,91,,,,,,,,,,,,
The Hunger Games (2012),7.2,84,,88,,,,3.4,,,,,,,,
Spider-Man (2002),7.3,90,73,88,,,,,,,,,,,,
Jumanji: Welcome to the Jungle (2017),6.9,76,58,91,,,,,,,,,,,,
Jurassic Park (1993),8.1,91,68,92,,,,,,,,,,,,
Transformers: Revenge of the Fallen (2009),6,20,35,91,,,,,,,,,,,,
Frozen (2013),7.4,90,,84,,,,,6.5,,,,,,,
Spider-Man: Far from Home (2019),7.5,91,69,92,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2 (2017),7.6,85,67,91,,,,,,,,,,,,
"Harry Potter and the Deathly Hallows, Part 2 (2011)",8.1,96,85,96,,,,,,,,,,,,
Finding Nemo (2003),8.1,99,,90,,,,4,,,,,,,,
Star Wars: Episode III - Revenge of the Sith (2005),7.5,80,68,92,,,,,,,,,,,,
The Lord of the Rings: The Return of the King (2003),8.9,93,94,90,,,,,,,,,,,,
Spider-Man 2 (2004),7.3,93,83,90,,,,,,,,,,,,
The Passion of the Christ (2004),7.2,49,47,93,,,,,,,,,,,,
The Secret Life of Pets (2016),6.5,73,61,88,,,,,,,,,,,,
Despicable Me 2 (2013),7.3,75,62,90,,,,,,,,,,,,
The Jungle Book (2016),7.4,94,,88,,,,,,4,,,,,,
Deadpool (2016),8,85,,91,,,,,,,83,,,,,
Aladdin (2019),7,57,53,91,,,,,,,,,,,,
Furious 7 (2015),7.1,81,67,92,,,,,,,,,,,,
Transformers: Dark of the Moon (2011),6.2,35,,90,,,,2.3,,,,,,,,
American Sniper (2014),7.3,72,,92,,,,3.2,,,,,,,,
The Lord of the Rings: The Two Towers (2002),8.7,95,87,92,,,,,,,,,,,,
Zootopia (2016),8,98,3.8,92,,,,,,,,,,,,
The Hunger Games: Mockingjay - Part 1 (2014),6.6,68,,,,,,,,,,4,,,,
Spider-Man 3 (2007),6.2,63,59,88,,,,,,,,,,,,
Minions (2015),6.4,55,56,83,,,,,,,,,,,,
Joker (2019),8.5,68,,92,,,,3.8,,,,,,,,
Aquaman (2018),6.9,65,,89,,,,,,,,,4,,,
Spider-Man: Homecoming (2017),7.4,92,73,88,,,,,,,,,,,,
Alice in Wonderland (2010),6.4,51,,90,,,,,,4,,,,,,
Guardians of the Galaxy (2014),8,91,76,92,,,,,,,,,,,,
Forrest Gump (1994),8.8,71,82,94,,,,,,,,,,,,
Batman v Superman: Dawn of Justice (2016),6.4,28,2.4,75,,,,,,,,,,,,
It (2017),7.3,86,,87,,,,,,,,,4.5,,,
Suicide Squad (2016),6,27,40,81,,,,,,,,,,,,
Deadpool 2 (2018),7.7,84,,92,,,,,,,,,4.4,,,
Shrek the Third (2007),6.1,42,58,84,,,,,,,,,,,,
Jumanji: The Next Level (2019),6.7,71,,,,,,,,,,4,,,,
Transformers (2007),7,58,61,89,,,,,,,,,,,,
Iron Man (2008),7.9,94,79,92,,,,,,,,,,,,
Harry Potter and the Sorcerer's Stone (2001),7.6,81,,93,,,,,,,,,,4.7,,
Indiana Jones and the Kingdom of the Crystal Skull (2008),6.1,78,65,83,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring (2001),8.8,91,4.3,86,,,,,,,,,,,,
Thor: Ragnarok (2017),7.9,93,,,,,,,6.5,,,,,,,
Iron Man 2 (2010),7,72,57,92,,,,,,,,,,,,
Star Wars: Episode II - Attack of the Clones (2002),6.5,65,54,85,,,,,,,,,,,,
Pirates of the Caribbean: At World's End (2007),7.1,44,50,94,,,,,,,,,,,,
Star Wars: Episode VI - Return of the Jedi (1983),8.3,82,58,95,,,,,,,,,,,,
Independence Day (1996),7,67,59,89,,,,,,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl (2003),8,79,63,93,,,,,,,,,,,,
Skyfall (2012),7.7,92,6.6,91,,,,,,,,,,,,
The Hobbit: An Unexpected Journey (2012),7.8,64,58,90,,,,,,,,,,,,
Harry Potter and the Half-Blood Prince (2009),7.6,84,,95,,,,3.6,,,,,,,,
The Twilight Saga: Eclipse (2010),5,48,58,92,,,,,,,,,,,,
The Twilight Saga: New Moon (2009),4.7,28,44,92,,,,,,,,,,,,
"Harry Potter and the Deathly Hallows, Part 1 (2010)",7.7,77,,96,,,,3.7,,,,,,,,
The Sixth Sense (1999),8.1,86,64,91,,,,,,,,,,,,
Up (2009),8.2,98,,90,,,,,,,,4,,,,
Star Wars: Episode V - The Empire Strikes Back (1980),8.7,94,82,94,,,,,,,,,,,,
Inception (2010),8.8,87,74,91,,,,,,,,,,,,
Harry Potter and the Order of the Phoenix (2007),7.5,77,,95,,,,3.6,,,,,,,,
"The Twilight Saga: Breaking Dawn, Part 2 (2012)",5.5,49,52,91,,,,,,,,,,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",6.9,76,75,93,,,,,,,,,,,,
Man of Steel (2013),7,56,55,86,,,,,,,,,,,,
"Monsters, Inc. (2001)",8,96,79,91,,,,,,,,,,,,
