"title","year","rotten_tomatoes_rating","IMDb_rating"
"After Last Season",2009,92,1.6
"The Grinch",2018,100,3.7
"The Catered Affair",1956,17,7.5
"Sparkle",1976,10,6.9
"Only the Strong",1993,8,6.7
"The Life of David Gale",2003,19,7.6
"The Vanishing of Sidney Hall",2017,11,6.9
"I'll Never Forget You",1951,14,7.1
"The Professor",2018,10,6.7
"Gang of Roses",2003,75,2.4
"The Arrangement",1969,8,6.5
"Justin Bieber: Never Say Never",2011,65,1.6
"Not as a Stranger",1955,11,6.7
"The Nutcracker Prince",1990,14,6.9
"The Number 23",2007,8,6.4
"Out Cold",2001,8,6.4
"Gods and Generals",2003,8,6.4
"Four Rooms",1995,13,6.8
"Life Itself",2018,13,6.8
"Two Flags West",1950,12,6.7
"The Choice",2016,11,6.6
"Grandma's Boy",2006,16,7
"Safe Haven",2013,13,6.7
"Oscar",1991,12,6.6
"Senseless",1998,6,6.1
"Death Hunt",1981,17,7
"Waiting for Forever",2010,5,6
"Just Before I Go",2014,10,6.4
"The Sandpiper",1965,9,6.3
"Nickelodeon",1976,9,6.3
"Pretty Maids All in a Row",1971,8,6.2
"Eye for an Eye",1996,8,6.2
"Dragonfly",2002,7,6.1
"Hannah Montana & Miley Cyrus: Best of Both Worlds Concert",2008,71,2.4
"Peppermint",2018,12,6.5
"Mobsters",1991,6,6
"Dream House",2011,6,6
"Tomahawk",1951,11,6.4
"Drum Beat",1954,11,6.4
"Raintree County",1957,11,6.4
"88 Minutes",2007,5,5.9
"The Boondock Saints",1999,28,7.8
"Sweet November",2001,15,6.7
"Crossing Over",2009,15,6.7
"The Fighting Prince of Donegal",1966,9,6.2
"Deuces Wild",2002,3,5.7
"Twelve",2010,3,5.7
"The Clown",1953,14,6.6
"Hellfighters",1968,14,6.6
"The Postman",1997,8,6.1
"Tarzan and the Valley of Gold",1966,7,6
"Little Boy",2015,24,7.4
"With Honors",1994,17,6.8
"Band of the Hand",1986,11,6.3
"Winter People",1989,11,6.3
"A Night at the Roxbury",1998,11,6.3
"Mrs. Winterbourne",1996,10,6.2
"Tulip Fever",2017,10,6.2
"Because I Said So",2007,4,5.7
"Playing for Keeps",2012,4,5.7
"Seven Pounds",2008,27,7.6
"Borderline",1950,9,6.1
"Mara Maru",1952,9,6.1
"The Victors",1963,20,7
"Beyond Borders",2003,14,6.5
"Jonathan Livingston Seagull",1973,8,6
"The Hunted",1995,8,6
"Grind",2003,8,6
"The Book of Love",2016,8,6
"Saturday Night Fever",1977,82,3.5
"Garbo Talks",1984,13,6.4
"Cocktail",1988,7,5.9
"Faithful",1996,7,5.9
"The New Guy",2002,7,5.9
"Beyond a Reasonable Doubt",2009,7,5.9
"W.E.",2011,12,6.3
"W.E.",2011,12,6.3
"Playing with Fire",2019,23,7.2
"Underworld: Evolution",2006,17,6.7
"Man on a Swing",1974,17,6.7
"Where the Buffalo Roam",1980,17,6.7
"Grumpier Old Men",1995,17,6.7
"The wedding date",2004,11,6.2
"All the King's Men",2006,11,6.2
"Major League II",1994,5,5.7
"Raajneeti",2010,22,7.1
"Facing the Giants",2006,16,6.6
"It's a Big Country",1951,10,6.1
"Change of Habit",1969,10,6.1
"Blended",2014,15,6.5
"Law Abiding Citizen",2009,26,7.4
"Chattahoochee",1989,14,6.4
"The Ugly Truth",2009,14,6.4
"It Takes Two",1995,8,5.9
"Almost Heroes",1998,8,5.9
"Premonition",2007,8,5.9
"Small Town Girl",1953,13,6.3
"Twisted",2004,1,5.3
"Down Periscope",1996,12,6.2
"Renaissance Man",1994,12,6.2
